,NewsID,Category,SubCategory,cluster_hdbscan,proba
0,93187,news,newsworld,3,1.0
1,40259,news,newsworld,6,0.9548756550136626
2,13152,news,newsscienceandtechnology,-1,0.0
3,21935,news,newspolitics,8,0.8260525639912144
4,35373,news,newsscienceandtechnology,4,1.0
5,57904,news,newsworld,-1,0.0
6,16951,news,newsus,5,1.0
7,127985,news,newsscienceandtechnology,4,1.0
8,13709,news,newsworld,3,0.5945618418194245
9,129080,news,newsus,-1,0.0
10,117941,news,newsscienceandtechnology,4,1.0
11,80991,news,newsphotos,8,0.8197423517080311
12,56151,news,newsworld,8,0.8260525639912144
13,26284,news,newsus,5,0.8028366934563
14,12905,news,newspolitics,6,1.0
15,72564,news,newspolitics,1,0.5962210056690188
16,37599,news,newspolitics,1,0.5781229105025767
17,127354,news,newspolitics,8,0.8286622652269027
18,1396,news,newsopinion,5,0.7274062360576019
19,27233,news,newscrime,6,0.9848777434233876
20,49726,news,newsworld,3,0.9773239424396092
21,102557,news,newsus,6,1.0
22,114898,news,newsus,-1,0.0
23,64209,news,newsus,5,0.9127949912696632
24,107808,news,newsus,11,0.956056739003682
25,100446,news,newsus,-1,0.0
26,70008,news,newsgoodnews,5,0.8608347329516505
27,96836,news,newspolitics,8,1.0
28,13518,news,newsopinion,8,1.0
29,4532,news,newsus,-1,0.0
30,66010,news,newsus,6,0.9138178001803264
31,119056,news,newsoffbeat,4,1.0
32,120528,news,newsworld,6,1.0
33,49026,news,newsworld,3,0.651566516123887
34,36795,news,newspolitics,8,0.9442715061226448
35,92984,news,newsworld,-1,0.0
36,46487,news,newsus,6,1.0
37,15407,news,newsworld,3,0.5646735285097066
38,112287,news,newsus,6,1.0
39,68015,news,newsus,1,0.9393133303220392
40,95120,news,newspolitics,8,1.0
41,122479,news,newsscienceandtechnology,0,1.0
42,66843,news,newsus,5,0.654777442012589
43,65820,news,newspolitics,8,0.912888948430117
44,54550,news,newsus,1,0.5781229105025767
45,72027,news,newscrime,6,0.9564420781283226
46,89732,news,newscrime,6,1.0
47,60020,news,newsweather,-1,0.0
48,49740,news,newsus,2,1.0
49,78485,news,newsscienceandtechnology,-1,0.0
50,107526,news,newspolitics,8,0.8967592001675488
51,5522,news,newsoffbeat,10,1.0
52,47291,news,newscrime,-1,0.0
53,29089,news,newspolitics,1,1.0
54,78903,news,newsscienceandtechnology,0,1.0
55,71021,news,newspolitics,8,0.8260525639912144
56,110697,news,newspolitics,8,0.8922351214818559
57,82868,news,newsus,-1,0.0
58,69977,news,newspolitics,8,1.0
59,60733,news,newsus,-1,0.0
60,94004,news,newsworld,-1,0.0
61,41257,news,newsus,-1,0.0
62,71602,news,newsus,6,1.0
63,17494,news,newspolitics,8,1.0
64,105667,news,newscrime,6,1.0
65,19939,news,newsscienceandtechnology,4,1.0
66,111181,news,newspolitics,8,0.9656880365805964
67,91653,news,newsscienceandtechnology,4,1.0
68,37567,news,newsus,-1,0.0
69,64345,news,newsus,2,1.0
70,111048,news,newspolitics,8,0.982642738468508
71,119763,news,newsbusiness,10,0.7860345688711526
72,115872,news,newspolitics,1,0.5473650771512952
73,51680,news,newsworld,3,0.8917902088227752
74,119953,news,newsworld,3,0.5945618418194245
75,6988,news,newspolitics,8,0.8577938633768738
76,46436,news,newsus,6,1.0
77,100218,news,newsworld,6,0.8351530444102954
78,78905,news,newsus,-1,0.0
79,79100,news,newsus,8,0.9877188727980796
80,116087,news,newsworld,3,1.0
81,35141,news,newsbusiness,10,0.8060086756243223
82,8186,news,newsus,10,1.0
83,3855,news,newsus,-1,0.0
84,75820,news,newsus,-1,0.0
85,35761,news,newsworld,-1,0.0
86,60296,news,newscrime,6,0.8747757471668139
87,77950,news,newsus,3,1.0
88,99910,news,newsus,-1,0.0
89,125308,news,newsopinion,3,0.5945618418194245
90,57817,news,newsus,6,1.0
91,102670,news,newsus,6,1.0
92,50094,news,newsus,5,0.8061856709686878
93,8132,news,newsopinion,3,0.587753407778894
94,40408,news,newsgoodnews,5,1.0
95,65241,news,factcheck,8,1.0
96,105546,news,newsus,6,1.0
97,58848,news,newsus,-1,0.0
98,129573,news,newsus,5,1.0
99,114456,news,newscrime,6,1.0
100,113616,news,newsus,-1,0.0
101,79986,news,newspolitics,8,0.7813609172106997
102,61170,news,newsopinion,8,0.8058893299482573
103,8343,news,newsworld,5,1.0
104,40998,news,newspolitics,8,0.9682317986433396
105,6513,news,newsus,8,0.6756057339221946
106,108419,news,newscrime,6,1.0
107,97831,news,newsus,6,0.9705194070452916
108,58456,news,newspolitics,1,1.0
109,103257,news,newsscienceandtechnology,4,1.0
110,46374,news,newsus,9,0.9621374692692836
111,329,news,newsus,5,0.5848359056692218
112,106583,news,newsworld,6,1.0
113,87894,news,newsus,6,1.0
114,39903,news,newsscienceandtechnology,4,1.0
115,40989,news,newsus,1,1.0
