,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.063,0.1776,0.723,0.2641,0.2387,0.0317
0.1,0.063,0.1776,0.723,0.2641,0.2387,0.0316
0.2,0.0624,0.1706,0.7093,0.264,0.2442,0.0285
0.3,0.0625,0.169,0.7042,0.2639,0.2467,0.0286
0.4,0.0625,0.1638,0.6927,0.2638,0.2481,0.0285
0.5,0.0628,0.1573,0.6739,0.2635,0.2496,0.0304
0.6,0.0631,0.1487,0.6514,0.2629,0.2504,0.0345
0.7,0.0517,0.1422,0.6326,0.2744,0.8798,0.0464
0.8,0.0464,0.1302,0.5985,0.2762,0.9708,0.0461
0.9,0.0442,0.1143,0.541,0.277,0.9708,0.0473
1.0,0.0307,0.0767,0.4123,0.2815,0.9921,0.0874
