,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0946,0.2599,0.903,0.2614,0.2387,0.0305
0.1,0.0946,0.2599,0.903,0.2614,0.2387,0.0305
0.2,0.0964,0.2576,0.9021,0.2611,0.2442,0.0278
0.3,0.0972,0.2565,0.9012,0.261,0.2467,0.0277
0.4,0.0988,0.2535,0.9,0.2608,0.2481,0.0277
0.5,0.1016,0.2493,0.8963,0.2602,0.2496,0.0301
0.6,0.1053,0.2433,0.8894,0.2596,0.2504,0.0347
0.7,0.0886,0.2391,0.8845,0.2719,0.8798,0.0466
0.8,0.0828,0.2296,0.8711,0.2742,0.9708,0.0459
0.9,0.0833,0.2139,0.8475,0.2743,0.9708,0.0475
1.0,0.0473,0.1232,0.6189,0.2787,0.9921,0.0871
