,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0852,0.2418,0.8387,0.2596,0.2387,0.0296
0.1,0.0852,0.2418,0.8387,0.2596,0.2387,0.0296
0.2,0.0852,0.2357,0.8272,0.2593,0.2442,0.027
0.3,0.0855,0.2341,0.8238,0.2592,0.2467,0.0271
0.4,0.086,0.2287,0.8195,0.259,0.2481,0.0272
0.5,0.0859,0.2193,0.803,0.2587,0.2496,0.0294
0.6,0.0863,0.2083,0.7813,0.2578,0.2504,0.0341
0.7,0.0706,0.1972,0.7544,0.271,0.8798,0.0466
0.8,0.061,0.1762,0.7037,0.2735,0.9708,0.045
0.9,0.0532,0.1412,0.6146,0.2736,0.9708,0.0486
1.0,0.0324,0.0815,0.4299,0.2793,0.9921,0.0864
