,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0776,0.2137,0.8192,0.2596,0.2387,0.0304
0.1,0.0776,0.2136,0.8192,0.2596,0.2387,0.0305
0.2,0.0785,0.21,0.8121,0.2593,0.2442,0.028
0.3,0.079,0.2086,0.813,0.2592,0.2467,0.028
0.4,0.0798,0.2049,0.8063,0.2589,0.2481,0.0281
0.5,0.0812,0.1983,0.7979,0.2584,0.2496,0.0304
0.6,0.0834,0.192,0.7843,0.2577,0.2504,0.0351
0.7,0.0688,0.1864,0.7711,0.2703,0.8798,0.0471
0.8,0.0632,0.1746,0.7493,0.2725,0.9708,0.0452
0.9,0.062,0.158,0.7167,0.2727,0.9708,0.0476
1.0,0.0427,0.1095,0.5714,0.2788,0.9921,0.0873
