,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0568,0.1603,0.0825,0.3234,0.2621,0.2403,0.4604
0.1,0.0568,0.1603,0.0825,0.3234,0.2621,0.2403,0.4604
0.2,0.057,0.1564,0.0821,0.321,0.2618,0.2459,0.4598
0.3,0.0574,0.1552,0.0823,0.3199,0.2617,0.2483,0.46
0.4,0.0576,0.1516,0.082,0.3179,0.2613,0.2497,0.4585
0.5,0.0581,0.1452,0.0814,0.315,0.2605,0.2513,0.4569
0.6,0.0583,0.1379,0.0805,0.3112,0.2596,0.252,0.4533
0.7,0.0561,0.1582,0.0815,0.3213,0.2736,0.8852,0.3175
0.8,0.053,0.1528,0.0774,0.3167,0.276,0.9787,0.2654
0.9,0.0513,0.137,0.0732,0.3065,0.2755,0.9787,0.2347
1.0,0.0354,0.0956,0.0507,0.2401,0.2825,1.0,0.0874
