,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0577,0.1654,0.6935,0.2685,0.2958,0.2069
0.1,0.0573,0.1643,0.6883,0.2695,0.2958,0.207
0.2,0.0564,0.1619,0.6823,0.2708,0.2971,0.2078
0.3,0.0556,0.1598,0.6738,0.2726,0.299,0.2087
0.4,0.0544,0.1559,0.6637,0.275,0.3015,0.2099
0.5,0.0529,0.1514,0.6499,0.2783,0.3064,0.2134
0.6,0.0512,0.1461,0.647,0.283,0.3159,0.2164
0.7,0.0491,0.1399,0.635,0.2888,0.3304,0.2237
0.8,0.0469,0.1338,0.6167,0.2972,0.3533,0.2333
0.9,0.0472,0.1348,0.6263,0.3116,0.3946,0.2499
1.0,0.0757,0.2159,0.8341,0.3303,0.4947,0.2998
