,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0805,0.2292,0.8569,0.27,0.4484,0.2724
0.1,0.08,0.2277,0.8566,0.2717,0.4495,0.273
0.2,0.0795,0.2262,0.8566,0.274,0.4509,0.2733
0.3,0.0787,0.2236,0.8523,0.2772,0.4524,0.2741
0.4,0.078,0.2219,0.8502,0.2813,0.4554,0.276
0.5,0.077,0.2192,0.8441,0.2864,0.4604,0.2774
0.6,0.0753,0.2142,0.8342,0.2924,0.4687,0.2798
0.7,0.0724,0.206,0.82,0.2994,0.4798,0.2816
0.8,0.0692,0.1972,0.8023,0.3088,0.4935,0.2862
0.9,0.0653,0.1861,0.7709,0.3218,0.509,0.292
1.0,0.0757,0.2159,0.8341,0.3303,0.4947,0.2998
