,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0718,0.2052,0.7946,0.266,0.4123,0.2681
0.1,0.0697,0.1992,0.7811,0.2695,0.4149,0.2685
0.2,0.0652,0.1869,0.7513,0.2743,0.422,0.2702
0.3,0.0599,0.1722,0.7138,0.2801,0.4295,0.2737
0.4,0.0559,0.1609,0.695,0.2868,0.4407,0.2774
0.5,0.0531,0.1525,0.6841,0.293,0.4511,0.2816
0.6,0.0516,0.1475,0.6736,0.2995,0.4593,0.2856
0.7,0.0504,0.1446,0.6649,0.307,0.4688,0.2879
0.8,0.0506,0.145,0.6623,0.3163,0.4803,0.2927
0.9,0.0499,0.1436,0.6538,0.3267,0.4928,0.2959
1.0,0.0757,0.2159,0.8341,0.3303,0.4947,0.2998
