,Precision,Recall,NDCG,ILD,s_recall,c_hell
0.0,0.0702,0.1988,0.7824,0.2663,0.4086,0.2635
0.1,0.0696,0.1971,0.7799,0.2671,0.4083,0.2635
0.2,0.0692,0.1955,0.7774,0.268,0.4089,0.2635
0.3,0.0684,0.1935,0.7742,0.2692,0.4096,0.2639
0.4,0.0672,0.1903,0.7705,0.2709,0.4103,0.2649
0.5,0.0662,0.1876,0.7656,0.2735,0.4122,0.2659
0.6,0.0649,0.1835,0.7559,0.277,0.4152,0.2678
0.7,0.0647,0.1828,0.7513,0.282,0.4208,0.27
0.8,0.0639,0.1804,0.7442,0.2899,0.4315,0.2728
0.9,0.0611,0.174,0.7298,0.3049,0.4531,0.2805
1.0,0.0757,0.2159,0.8341,0.3303,0.4947,0.2998
