,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0383,0.1125,0.0562,0.2104,0.2642,0.4017,0.5378
0.1,0.0377,0.1111,0.0554,0.1953,0.2662,0.4034,0.537
0.2,0.0375,0.1113,0.0553,0.1922,0.2695,0.4077,0.5355
0.3,0.0373,0.111,0.055,0.1911,0.2739,0.4142,0.5327
0.4,0.0363,0.1085,0.0535,0.1895,0.2792,0.4222,0.5308
0.5,0.0367,0.1105,0.0543,0.1931,0.2856,0.4328,0.5275
0.6,0.0364,0.1097,0.0539,0.1936,0.2924,0.4455,0.5234
0.7,0.0364,0.1099,0.0539,0.1939,0.3007,0.4597,0.5182
0.8,0.0389,0.1166,0.0575,0.2,0.3112,0.4776,0.5118
0.9,0.0403,0.1202,0.0595,0.2023,0.3233,0.4955,0.5057
1.0,0.0434,0.1318,0.0644,0.2111,0.3316,0.5019,0.5063
