,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.095,0.254,0.135,0.3678,0.7907,0.5421,0.1451
0.1,0.0941,0.2512,0.1336,0.3673,0.7935,0.5639,0.1366
0.2,0.0937,0.2501,0.133,0.3668,0.7953,0.5753,0.1331
0.3,0.0924,0.2467,0.1313,0.3641,0.7986,0.5984,0.1274
0.4,0.091,0.2426,0.1292,0.3612,0.8034,0.6287,0.124
0.5,0.0896,0.2383,0.1272,0.3585,0.8084,0.6662,0.1253
0.6,0.0882,0.2319,0.1248,0.3555,0.8132,0.6983,0.1317
0.7,0.0798,0.2245,0.1149,0.3491,0.8403,0.9564,0.07
0.8,0.0753,0.2154,0.1089,0.3414,0.8477,0.9995,0.0635
0.9,0.0709,0.1987,0.1019,0.3285,0.8492,0.9998,0.0606
1.0,0.0583,0.1247,0.0771,0.2701,0.8483,1.0,0.0171
