,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0962,0.2586,0.1369,0.3659,0.783,0.5421,0.1452
0.1,0.0954,0.2565,0.1358,0.3644,0.786,0.5638,0.1364
0.2,0.0949,0.2552,0.1351,0.3643,0.7871,0.5752,0.1331
0.3,0.0934,0.2513,0.133,0.3616,0.7905,0.5984,0.1276
0.4,0.0923,0.2475,0.1313,0.36,0.795,0.6287,0.1243
0.5,0.0906,0.2424,0.1288,0.3581,0.7999,0.6662,0.1257
0.6,0.0888,0.2357,0.1261,0.355,0.8044,0.6983,0.1316
0.7,0.0806,0.2287,0.1164,0.3496,0.8341,0.9564,0.0703
0.8,0.0755,0.2177,0.1095,0.3412,0.8417,0.9995,0.0638
0.9,0.0706,0.1992,0.1017,0.3313,0.8433,0.9998,0.0606
1.0,0.0561,0.1204,0.0744,0.2684,0.8437,1.0,0.0163
