,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0894,0.2405,0.1272,0.3474,0.8049,0.5424,0.1459
0.1,0.0882,0.2375,0.1256,0.3461,0.8086,0.5641,0.1372
0.2,0.0876,0.2362,0.1248,0.3462,0.8096,0.5755,0.1343
0.3,0.0862,0.2322,0.1228,0.3433,0.8132,0.5985,0.1284
0.4,0.0849,0.2287,0.1209,0.341,0.8176,0.6289,0.125
0.5,0.0831,0.2232,0.1183,0.3383,0.8229,0.6663,0.1259
0.6,0.0817,0.2175,0.1161,0.3347,0.8271,0.6984,0.1321
0.7,0.0734,0.2095,0.1061,0.3285,0.8517,0.9564,0.0706
0.8,0.0694,0.2009,0.1007,0.3218,0.8585,0.9995,0.0656
0.9,0.0645,0.1824,0.0929,0.3098,0.8606,0.9998,0.0607
1.0,0.0522,0.1122,0.0692,0.2492,0.8579,1.0,0.0176
