,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0929,0.2503,0.1323,0.3537,0.7899,0.5422,0.1452
0.1,0.092,0.2476,0.131,0.3528,0.7931,0.5639,0.1366
0.2,0.0914,0.2465,0.1303,0.3523,0.7942,0.5753,0.1331
0.3,0.0902,0.2428,0.1285,0.3507,0.7978,0.5984,0.1274
0.4,0.0888,0.239,0.1265,0.3489,0.8023,0.6287,0.1237
0.5,0.0869,0.2331,0.1237,0.3461,0.8074,0.6662,0.1256
0.6,0.0858,0.2281,0.1219,0.3438,0.8114,0.6983,0.1312
0.7,0.0778,0.2211,0.1124,0.3402,0.8372,0.9564,0.0696
0.8,0.0737,0.2131,0.107,0.3341,0.8442,0.9995,0.0635
0.9,0.0688,0.1949,0.0993,0.3192,0.8457,0.9998,0.06
1.0,0.0559,0.1207,0.0743,0.26,0.8442,1.0,0.0158
