,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0016,0.004,0.0022,0.024,0.8407,0.5428,0.1618
0.1,0.0018,0.0042,0.0024,0.0254,0.8425,0.5646,0.155
0.2,0.0018,0.0043,0.0024,0.0255,0.8438,0.5759,0.1521
0.3,0.0017,0.0041,0.0023,0.0253,0.8453,0.5989,0.1473
0.4,0.0017,0.004,0.0023,0.0243,0.8479,0.6289,0.1452
0.5,0.0017,0.004,0.0023,0.0248,0.8503,0.6664,0.149
0.6,0.0017,0.0041,0.0023,0.0248,0.8523,0.6986,0.1574
0.7,0.0017,0.0043,0.0024,0.0272,0.8664,0.9565,0.1244
0.8,0.0017,0.0044,0.0024,0.0265,0.8692,0.9995,0.1214
0.9,0.0017,0.0043,0.0023,0.0252,0.8677,0.9998,0.1191
1.0,0.0018,0.0035,0.0023,0.0211,0.856,1.0,0.0941
