,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.094,0.2721,0.1365,0.3823,0.7547,0.3672,0.4372
0.1,0.0935,0.2704,0.1357,0.3698,0.7694,0.3732,0.4341
0.2,0.0925,0.2679,0.1343,0.3612,0.7875,0.384,0.4301
0.3,0.0914,0.2647,0.1327,0.3563,0.8074,0.4002,0.4239
0.4,0.0897,0.2597,0.1302,0.3486,0.827,0.4212,0.4156
0.5,0.0869,0.2517,0.1261,0.342,0.8476,0.4493,0.4064
0.6,0.0833,0.2415,0.121,0.3321,0.8678,0.4841,0.3963
0.7,0.0793,0.2291,0.115,0.3233,0.889,0.5277,0.3841
0.8,0.0741,0.2136,0.1074,0.3137,0.9093,0.5807,0.3717
0.9,0.0657,0.1909,0.0955,0.2991,0.9263,0.6358,0.3642
1.0,0.0556,0.1629,0.0811,0.2556,0.9331,0.6786,0.3793
