,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.1003,0.289,0.1454,0.4115,0.7624,0.4708,0.3965
0.1,0.0995,0.2867,0.1443,0.4023,0.775,0.4777,0.3936
0.2,0.0991,0.2859,0.1438,0.3948,0.7909,0.4879,0.39
0.3,0.0977,0.2819,0.1418,0.3867,0.8078,0.5035,0.3852
0.4,0.0955,0.2759,0.1386,0.3789,0.8262,0.5219,0.3786
0.5,0.0927,0.2683,0.1346,0.3721,0.8453,0.5449,0.3724
0.6,0.0892,0.2585,0.1295,0.3642,0.8655,0.572,0.3662
0.7,0.0846,0.245,0.1228,0.3543,0.8873,0.6026,0.3601
0.8,0.0786,0.2281,0.1143,0.3417,0.9079,0.6327,0.3577
0.9,0.0705,0.2059,0.1027,0.3303,0.9258,0.6654,0.3576
1.0,0.0556,0.1629,0.0811,0.2556,0.9331,0.6786,0.3793
