,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0852,0.2483,0.124,0.3491,0.8109,0.5635,0.4046
0.1,0.085,0.2478,0.1237,0.3424,0.8183,0.569,0.403
0.2,0.0843,0.2455,0.1227,0.3374,0.8269,0.5756,0.4006
0.3,0.0832,0.2427,0.1211,0.3317,0.8364,0.5832,0.3982
0.4,0.0816,0.2378,0.1187,0.3265,0.847,0.5936,0.3948
0.5,0.0802,0.2339,0.1167,0.3218,0.8589,0.6052,0.3899
0.6,0.078,0.2277,0.1136,0.3165,0.8717,0.6184,0.3845
0.7,0.0749,0.2188,0.1091,0.3117,0.8874,0.6355,0.3788
0.8,0.0709,0.2073,0.1033,0.3031,0.9056,0.653,0.3738
0.9,0.0662,0.1922,0.0962,0.2931,0.9234,0.6706,0.3708
1.0,0.0556,0.1629,0.0811,0.2556,0.9331,0.6786,0.3793
