,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0869,0.2516,0.1262,0.3522,0.7715,0.5361,0.4273
0.1,0.0864,0.2504,0.1255,0.3455,0.7776,0.5399,0.4255
0.2,0.0858,0.2488,0.1246,0.3404,0.7851,0.5454,0.4232
0.3,0.0852,0.2475,0.1239,0.3381,0.796,0.5531,0.4199
0.4,0.0844,0.245,0.1227,0.3328,0.8095,0.563,0.4154
0.5,0.0834,0.2425,0.1213,0.3285,0.8253,0.576,0.41
0.6,0.0817,0.2372,0.1187,0.3236,0.8428,0.5928,0.4033
0.7,0.0801,0.2332,0.1166,0.3204,0.8623,0.6146,0.3934
0.8,0.0757,0.2199,0.11,0.3134,0.8861,0.642,0.3831
0.9,0.0698,0.2025,0.1014,0.3025,0.9125,0.6667,0.3751
1.0,0.0556,0.1629,0.0811,0.2556,0.9331,0.6786,0.3793
