,Precision,Recall,F1,NDCG,ILD,s_recall,c_hell
0.0,0.0017,0.0043,0.0023,0.0264,0.8402,0.561,0.4738
0.1,0.0017,0.0043,0.0023,0.026,0.8412,0.5618,0.4733
0.2,0.0017,0.0043,0.0023,0.0259,0.8424,0.5631,0.4725
0.3,0.0016,0.0043,0.0023,0.0257,0.844,0.5644,0.4719
0.4,0.0016,0.0043,0.0023,0.0257,0.846,0.5658,0.4711
0.5,0.0017,0.0043,0.0024,0.0266,0.8487,0.5688,0.4697
0.6,0.0017,0.0043,0.0023,0.0267,0.8522,0.5722,0.4679
0.7,0.0017,0.0043,0.0023,0.0267,0.8578,0.5788,0.4644
0.8,0.0017,0.0044,0.0023,0.0267,0.8668,0.5891,0.4597
0.9,0.0017,0.0044,0.0024,0.0269,0.8841,0.6071,0.4499
1.0,0.0011,0.0028,0.0015,0.0168,0.9254,0.6607,0.4218
