,entropy,target_entropy,optimal_lambda
504290,0.5650549824073321,0.5982485267968598,0.05
680786,0.827836670722468,0.8436264632232087,0.05
544585,0.7492951533400183,0.7712365995456459,0.05
243112,0.6155375535202976,0.6461436768338283,0.05
208011,0.752578796969658,0.7742777521682057,0.05
388699,0.7002892055516723,0.7256875776256261,0.05
215295,0.7227922811448683,0.7466415517014229,0.05
619494,0.6781513410807465,0.7050078657669185,0.05
421234,0.7040251856254711,0.7291709803079719,0.05
472719,0.5571663092507413,0.5907263763587898,0.05
150168,0.5910944559245565,0.6230045197519947,0.05
412243,0.5410414990843166,0.5753174143855916,0.05
370118,0.7599986625232183,0.7811447984466134,0.05
400122,0.6756356017774893,0.7026535964681373,0.05
592011,0.7790964010660562,0.7987890050226084,0.05
213741,0.7821361819292738,0.8015934121044055,0.05
124067,0.647261215783118,0.6760388062283126,0.05
424513,0.6797377058902329,0.7064919623276703,0.05
52970,0.6763324830121819,0.7033058367805769,0.05
38595,0.6213533741723173,0.6516355885841916,0.05
607558,0.696854053513524,0.7224830248625782,0.05
178889,0.6066216928614595,0.6377142814418058,0.05
592280,0.6573563757644639,0.6855210445941115,0.05
938,0.5899664156746319,0.6219343741174234,0.05
184367,0.6719675009595191,0.6992193565533406,0.05
696218,0.6449512192112823,0.6738669879782937,0.05
318232,0.7178520604267786,0.7420470726306557,0.05
152757,0.8076487417060203,0.8250879959864381,0.05
34832,0.6081447140776363,0.6391550764575179,0.05
676770,0.37547055780909017,0.41411246107563865,0.05
251940,0.7230702092822832,0.7468999355288447,0.05
253187,0.7107823799485916,0.7354666561972659,0.05
57014,0.6878315462778828,0.7140586444729947,0.05
497734,0.62178611397442,0.6520440211530453,0.05
689850,0.6774122699563633,0.7043163218653324,0.05
212147,0.7883368271781215,0.8073105605743998,0.05
179592,0.6953187299792545,0.7210502560754364,0.05
705927,0.6823133861787203,0.7089008588905565,0.05
340183,0.7162494258640875,0.7405559202200599,0.05
282773,0.7851072330925374,0.8043333582259878,0.05
579883,0.6282292603625498,0.6581219020273238,0.05
680066,0.6418214354887295,0.6709231784860942,0.05
619908,0.5800628028396829,0.6125302129644041,0.05
19161,0.6516888000853269,0.6801993797089122,0.05
231841,0.7195380833122269,0.7436154534376106,0.05
363970,0.6606571352042991,0.6886182317296543,0.05
3263,0.7508323539505722,0.7726604462953486,0.05
194051,0.7094436917263998,0.7342198779672414,0.05
119239,0.6697428448473788,0.6971356212910398,0.05
58570,0.7573280432105637,0.7786739300831985,0.05
310654,0.5348958291627777,0.5694325521260233,0.05
465858,0.6451292964720009,0.6740344407321053,0.05
297562,0.7302260443252472,0.7535491540703986,0.05
299690,0.6608202068389784,0.6887712058490142,0.05
639914,0.7236145678969095,0.7474059852840552,0.05
