,entropy,target_entropy,optimal_lambda
504290,0.5650549824073321,0.9,0.5
680786,0.827836670722468,0.9,0.2
544585,0.7492951533400183,0.9,0.35
243112,0.6155375535202976,0.9,0.5
208011,0.752578796969658,0.9,0.3
388699,0.7002892055516723,0.9,0.4
215295,0.7227922811448683,0.9,0.4
619494,0.6781513410807465,0.9,0.4
421234,0.7040251856254711,0.9,0.4
472719,0.5571663092507413,0.9,0.55
150168,0.5910944559245565,0.9,0.55
412243,0.5410414990843166,0.9,0.55
370118,0.7599986625232183,0.9,0.3
400122,0.6756356017774893,0.9,0.4
592011,0.7790964010660562,0.9,0.3
213741,0.7821361819292738,0.9,0.3
124067,0.647261215783118,0.9,0.45
424513,0.6797377058902329,0.9,0.45
52970,0.6763324830121819,0.9,0.4
38595,0.6213533741723173,0.9,0.5
607558,0.696854053513524,0.9,0.4
178889,0.6066216928614595,0.9,0.5
592280,0.6573563757644639,0.9,0.45
938,0.5899664156746319,0.9,0.5
184367,0.6719675009595191,0.9,0.45
696218,0.6449512192112823,0.9,0.45
318232,0.7178520604267786,0.9,0.4
152757,0.8076487417060203,0.9,0.25
34832,0.6081447140776363,0.9,0.5
676770,0.37547055780909017,0.9,0.65
251940,0.7230702092822832,0.9,0.4
253187,0.7107823799485916,0.9,0.4
57014,0.6878315462778828,0.9,0.45
497734,0.62178611397442,0.9,0.5
689850,0.6774122699563633,0.9,0.45
212147,0.7883368271781215,0.9,0.25
179592,0.6953187299792545,0.9,0.4
705927,0.6823133861787203,0.9,0.45
340183,0.7162494258640875,0.9,0.4
282773,0.7851072330925374,0.9,0.3
579883,0.6282292603625498,0.9,0.45
680066,0.6418214354887295,0.9,0.45
619908,0.5800628028396829,0.9,0.5
19161,0.6516888000853269,0.9,0.45
231841,0.7195380833122269,0.9,0.4
363970,0.6606571352042991,0.9,0.45
3263,0.7508323539505722,0.9,0.35
194051,0.7094436917263998,0.9,0.4
119239,0.6697428448473788,0.9,0.45
58570,0.7573280432105637,0.9,0.35
310654,0.5348958291627777,0.9,0.55
465858,0.6451292964720009,0.9,0.45
297562,0.7302260443252472,0.9,0.35
299690,0.6608202068389784,0.9,0.45
639914,0.7236145678969095,0.9,0.4
491674,0.4314563051274304,0.9,0.6
618806,0.7073053821452504,0.9,0.4
65651,0.7029989317904463,0.9,0.4
126569,0.6937795270039654,0.9,0.4
176176,0.7299563707095819,0.9,0.4
593681,0.6490948338432597,0.9,0.45
706961,0.634924386836137,0.9,0.45
180918,0.7130796653325614,0.9,0.4
138120,0.6780044954231317,0.9,0.4
204732,0.6251336022387217,0.9,0.45
69888,0.8819881178695566,0.9,0.05
166958,0.6231446604516212,0.9,0.45
207692,0.8108010033175673,0.9,0.25
246061,0.564840424410338,0.9,0.55
684059,0.7495632055488961,0.9,0.35
482240,0.6471385580588405,0.9,0.45
663996,0.6197405436955467,0.9,0.5
201290,0.6213155795550613,0.9,0.5
348987,0.6841918140413903,0.9,0.4
540741,0.7211700739262237,0.9,0.4
403884,0.5957207324321588,0.9,0.5
242627,0.7771542262486106,0.9,0.3
531967,0.6801370261231109,0.9,0.4
536563,0.6957853950781551,0.9,0.4
109857,0.5178301429240348,0.9,0.55
44331,0.5152359651874522,0.9,0.55
287223,0.820016655606933,0.9,0.25
315993,0.5971089026976639,0.9,0.5
432001,0.617123738022663,0.9,0.45
180107,0.6668034604386651,0.9,0.45
174332,0.7350616459902134,0.9,0.35
333938,0.7353241981917974,0.9,0.35
545873,0.7240541945714821,0.9,0.35
20990,0.7239967974140351,0.9,0.4
587076,0.6585407437875265,0.9,0.45
161217,0.720553983821886,0.9,0.4
395907,0.7801674106478005,0.9,0.25
236333,0.6777931912211376,0.9,0.4
699318,0.6695012033499881,0.9,0.45
149129,0.6319562954199709,0.9,0.5
254405,0.7573682440423879,0.9,0.35
475273,0.49482746074196904,0.9,0.6
617930,0.6846351493880275,0.9,0.4
128307,0.6285967068059887,0.9,0.45
305954,0.7698333220834787,0.9,0.35
699707,0.6382118332603495,0.9,0.45
474014,0.6898328153462021,0.9,0.45
567732,0.6716039190563626,0.9,0.45
486424,0.6858232910609461,0.9,0.4
92493,0.8223697896903004,0.9,0.25
284898,0.6092157492052664,0.9,0.5
11618,0.6114778115955695,0.9,0.5
217362,0.44307847857140026,0.9,0.6
444526,0.6473959893873652,0.9,0.45
691790,0.7134409666251855,0.9,0.35
314926,0.7647081629520688,0.9,0.35
59108,0.49731947678364224,0.9,0.55
146171,0.7656002704820418,0.9,0.35
150241,0.5410689505883708,0.9,0.55
623224,0.7146586830870763,0.9,0.4
308698,0.5249151922360287,0.9,0.55
259501,0.6646978765137185,0.9,0.45
629745,0.6556261059877181,0.9,0.45
560991,0.5869633955889209,0.9,0.5
450576,0.6808098531338799,0.9,0.45
468235,0.7557186851735564,0.9,0.3
192535,0.4081768979645286,0.9,0.6
198538,0.7485522839986675,0.9,0.35
351295,0.7520801795718677,0.9,0.35
412646,0.7752552463704844,0.9,0.3
544008,0.6197886979367454,0.9,0.45
512610,0.7562486866389162,0.9,0.35
553789,0.6842291711450792,0.9,0.45
681596,0.5473070534881,0.9,0.55
479126,0.6703619269363189,0.9,0.4
613109,0.7847339269189173,0.9,0.3
161532,0.5515203774421125,0.9,0.55
50971,0.6736621821692272,0.9,0.45
322298,0.587974114425707,0.9,0.5
509502,0.4768384611623665,0.9,0.6
338685,0.7255222385990437,0.9,0.35
392948,0.791333243966965,0.9,0.3
347541,0.6618879257194322,0.9,0.4
555016,0.7015173468603593,0.9,0.4
278805,0.6722123630530958,0.9,0.4
226627,0.7490662419258974,0.9,0.35
589355,0.7675356486368465,0.9,0.3
335167,0.5867497477981611,0.9,0.55
41660,0.5475155335285855,0.9,0.55
7152,0.625403631793006,0.9,0.45
518724,0.6115768420670916,0.9,0.45
64112,0.6555867475045799,0.9,0.45
215876,0.5999119128694669,0.9,0.5
391876,0.635523839832089,0.9,0.45
41646,0.7748240538733726,0.9,0.3
198777,0.5684804695790794,0.9,0.5
590574,0.6794396783818641,0.9,0.4
417621,0.3955869661146439,0.9,0.6
31524,0.7760381622274943,0.9,0.3
283855,0.6896506433804624,0.9,0.4
396346,0.7282914147174304,0.9,0.35
297312,0.5888365989405636,0.9,0.5
294047,0.5519550121767184,0.9,0.55
373670,0.5077098271906751,0.9,0.55
703956,0.6753743786435351,0.9,0.45
384581,0.5960575281810893,0.9,0.5
307308,0.6275418456088879,0.9,0.45
294439,0.6371146704015064,0.9,0.45
553511,0.6909328796611502,0.9,0.4
634090,0.7199324137971319,0.9,0.4
245884,0.7107237401758222,0.9,0.4
27215,0.6943890525860029,0.9,0.4
281103,0.7179261108348598,0.9,0.4
646526,0.6023976027731788,0.9,0.5
218278,0.6027821056201025,0.9,0.5
500804,0.6872400989640921,0.9,0.4
473553,0.754743949333893,0.9,0.3
517271,0.6843509961532388,0.9,0.4
252448,0.6613126483589522,0.9,0.4
319753,0.7613318996673203,0.9,0.3
649734,0.6625080404000883,0.9,0.4
358093,0.749221870021881,0.9,0.35
450859,0.6357448999742756,0.9,0.5
15107,0.5425253589086677,0.9,0.55
181291,0.7025501036709038,0.9,0.4
520360,0.7984998447307212,0.9,0.3
415767,0.4583047655809541,0.9,0.6
5116,0.5758963467417633,0.9,0.5
190086,0.6934036091099658,0.9,0.4
394941,0.5345368614304595,0.9,0.55
222828,0.7084924982334911,0.9,0.4
61043,0.6800558299863335,0.9,0.4
295817,0.6946970309383682,0.9,0.4
669362,0.6893116198097862,0.9,0.4
376494,0.6574233037451082,0.9,0.45
570327,0.5279731869091289,0.9,0.55
12760,0.7462865846549327,0.9,0.35
514813,0.6552479886529171,0.9,0.45
572804,0.5489615608815579,0.9,0.55
684752,0.6941947023069597,0.9,0.45
675227,0.7321956067737554,0.9,0.4
663688,0.7315468825652532,0.9,0.35
290666,0.7917009952993194,0.9,0.25
241285,0.6930580248258387,0.9,0.4
557823,0.7529797103247736,0.9,0.35
610520,0.5543808771135144,0.9,0.55
95518,0.6855343778781317,0.9,0.4
79868,0.7097083926570392,0.9,0.4
157942,0.7070543496582181,0.9,0.4
105010,0.6747184961869854,0.9,0.4
423174,0.7137696044736028,0.9,0.4
395563,0.6941056783855347,0.9,0.4
633335,0.7057304619368109,0.9,0.4
357072,0.5565443369400074,0.9,0.55
322802,0.7582713960753996,0.9,0.3
510866,0.6519795649286292,0.9,0.45
223924,0.5405449326625446,0.9,0.55
343665,0.645368113617142,0.9,0.45
136456,0.7278582753809183,0.9,0.35
160914,0.5845974391737283,0.9,0.5
468555,0.7749212656537959,0.9,0.35
27761,0.5051818119313298,0.9,0.55
433999,0.7094605952886581,0.9,0.4
502386,0.7030240374875992,0.9,0.4
304125,0.5830590321186361,0.9,0.5
396724,0.6473903828842142,0.9,0.45
436813,0.7644839193932768,0.9,0.3
538175,0.6107577275874074,0.9,0.5
400526,0.6850422958971878,0.9,0.4
511948,0.5761686612154434,0.9,0.5
500264,0.740437680976516,0.9,0.35
651451,0.5874061200176937,0.9,0.5
193439,0.6097128967957812,0.9,0.5
355484,0.49180542574622743,0.9,0.55
136437,0.7446180977359673,0.9,0.35
98406,0.7911729736240303,0.9,0.3
271858,0.6636108172643937,0.9,0.45
