,entropy,target_entropy,optimal_lambda
U23456,0.15149585433537505,0.5677017390076675,0.3
U99066,0.27260892946238385,0.677114358334151,0.35
U368361,0.27643459094367495,0.6799511551619571,0.3
U119768,0.45814600780483394,0.7912271333021464,0.35
U259609,0.3010299956639812,0.6975621887597618,0.3
U4371,0.1411817415046076,0.5558192199803735,0.25
U49804,0.27643459094367495,0.6799511551619571,0.3
U86852,0.18645261937849542,0.6041858455120782,0.3
U98845,0.14613825070237532,0.5616026796580919,0.3
U30875,0.0,0.0,0.0
U11325,0.37358144349231526,0.7442444226798769,0.35
U367516,0.3010299956639812,0.6975621887597618,0.3
U54756,0.0,0.0,0.0
U289168,0.0,0.0,0.0
U129464,0.2023809058691963,0.6192283917904959,0.3
U261363,0.34583375120281473,0.7272106200657837,0.35
U119695,0.0,0.0,0.0
U492356,0.0,0.0,0.0
U1841,0.0,0.0,0.0
U147942,0.0,0.0,0.0
U124745,0.11777604826287541,0.5264014701355857,0.25
U69394,0.1894228911289456,0.6070573731041898,0.3
U140683,0.259825181013106,0.6674279220735938,0.3
U264530,0.3376475137776545,0.7220031076384734,0.35
U142314,0.23004847928068486,0.6434959383112061,0.3
U125463,0.28731326376205846,0.6878705284594699,0.3
U14960,0.1781112539711337,0.5959466850765567,0.3
U220874,0.24421905028821556,0.6551396153845267,0.3
U221622,0.296583221518423,0.6944547830678443,0.3
U106084,0.2922852532386289,0.691420212559278,0.3
U223603,0.0,0.0,0.0
U32128,0.09715952593740357,0.4968732496898365,0.25
U228771,0.2922852532386289,0.691420212559278,0.3
U48360,0.0,0.0,0.0
U171645,0.24421905028821556,0.6551396153845267,0.3
U270167,0.2173220112736489,0.6326028070905471,0.3
U369788,0.0,0.0,0.0
U122150,0.1956762467702946,0.6130013527355093,0.3
U120586,0.41269725150422143,0.7668130105590221,0.35
U54166,0.2697343852546392,0.6749644415028032,0.3
U312185,0.0,0.0,0.0
U96742,0.2544759887859945,0.6632756336131825,0.3
U171789,0.2922852532386289,0.691420212559278,0.3
U133657,0.0,0.0,0.0
U124616,0.0,0.0,0.0
U117145,0.2369487128311723,0.6492266011873107,0.3
U121938,0.3844167837233561,0.7506555540134868,0.35
U126642,0.3010299956639812,0.6975621887597618,0.3
U371348,0.0,0.0,0.0
U263457,0.0,0.0,0.0
U104783,0.0,0.0,0.0
U310406,0.0,0.0,0.0
U60139,0.15730604625102798,0.5741476937442793,0.3
U142174,0.2922852532386289,0.691420212559278,0.3
U336731,0.1781112539711337,0.5959466850765567,0.3
U276349,0.27643459094367495,0.6799511551619571,0.3
U228045,0.28731326376205846,0.6878705284594699,0.3
U328670,0.4515449934959718,0.7877897201664136,0.35
U76901,0.268064694594085,0.6737082812092606,0.3
U487898,0.0,0.0,0.0
U106337,0.0,0.0,0.0
U82540,0.24421905028821556,0.6551396153845267,0.3
U88487,0.0,0.0,0.0
U85639,0.0,0.0,0.0
U85944,0.3514334717489679,0.7307232685056736,0.35
U111003,0.36069185630091893,0.7364459888642891,0.35
U48038,0.21067820766621925,0.6267377937929992,0.3
U178192,0.1956762467702946,0.6130013527355093,0.3
U135364,0.2095807736466832,0.6257565896903083,0.3
U129346,0.1781112539711337,0.5959466850765567,0.3
U264035,0.0,0.0,0.0
U109761,0.47290325063701766,0.7987882903044706,0.35
U115812,0.27643459094367495,0.6799511551619571,0.3
U24062,0.2735320896740836,0.677801436611922,0.35
U90389,0.2805935411579943,0.6830040847259118,0.3
U21779,0.0,0.0,0.0
U30941,0.0,0.0,0.0
U154056,0.2846721173935298,0.6859674043652062,0.3
U331493,0.0,0.0,0.0
U96992,0.0,0.0,0.0
U180182,0.2173220112736489,0.6326028070905471,0.3
U217378,0.2173220112736489,0.6326028070905471,0.3
U110598,0.296583221518423,0.6944547830678443,0.3
U281752,0.0,0.0,0.0
U139849,0.23460767814076083,0.6472956171695146,0.3
U477594,0.0,0.0,0.0
U35928,0.2173220112736489,0.6326028070905471,0.3
U86225,0.0,0.0,0.0
U261732,0.2173220112736489,0.6326028070905471,0.3
U53199,0.2733889239497519,0.6776949894503398,0.3
U86986,0.39801564264788764,0.758525249969876,0.35
U284384,0.0,0.0,0.0
U256062,0.2922852532386289,0.691420212559278,0.3
U64402,0.0,0.0,0.0
U99916,0.3194765492042109,0.7101199199407026,0.35
U357161,0.0,0.0,0.0
U360525,0.0,0.0,0.0
U102493,0.2830542780615225,0.684795530199632,0.3
U448147,0.0,0.0,0.0
U58060,0.3010299956639812,0.6975621887597618,0.3
U325113,0.1956762467702946,0.6130013527355093,0.3
U20806,0.3656130936923342,0.7394460991404578,0.35
U6007,0.2173220112736489,0.6326028070905471,0.3
U340478,0.0,0.0,0.0
U213034,0.0,0.0,0.0
U59932,0.2635599899393732,0.670291704610004,0.35
U81078,0.0,0.0,0.0
U158218,0.0,0.0,0.0
U29938,0.12974897609576086,0.5419150118736289,0.25
U189565,0.0,0.0,0.0
U29396,0.0,0.0,0.0
U460247,0.0,0.0,0.0
U91323,0.23004847928068486,0.6434959383112061,0.3
U15715,0.15730604625102798,0.5741476937442793,0.3
U31604,0.0,0.0,0.0
U119738,0.0,0.0,0.0
U315626,0.296583221518423,0.6944547830678443,0.3
U247645,0.0,0.0,0.0
U99971,0.2969440338726807,0.6947081297470344,0.35
U87041,0.29952027851454965,0.6965108230081489,0.3
U38543,0.3685794545915667,0.7412408355156389,0.35
U24236,0.22351102983982532,0.6379544745489223,0.3
U93933,0.0,0.0,0.0
U150539,0.259825181013106,0.6674279220735938,0.3
U62081,0.22479011771276397,0.6390475356490214,0.3
U948,0.22351102983982532,0.6379544745489223,0.3
U381895,0.2922852532386289,0.691420212559278,0.3
U225994,0.0,0.0,0.0
U132965,0.0,0.0,0.0
U364987,0.0,0.0,0.0
U263560,0.2173220112736489,0.6326028070905471,0.3
U5511,0.2746345726623164,0.6786198555365445,0.35
U148104,0.0,0.0,0.0
U440973,0.0,0.0,0.0
U285774,0.2922852532386289,0.691420212559278,0.3
U75600,0.0,0.0,0.0
U491662,0.0,0.0,0.0
U19015,0.4515449934959718,0.7877897201664136,0.35
U232812,0.3010299956639812,0.6975621887597618,0.3
U3228,0.2222458900539458,0.6368690171248137,0.3
U254652,0.0,0.0,0.0
U90283,0.29834362199577563,0.6956888252015476,0.3
U325482,0.0,0.0,0.0
U97842,0.45814600780483394,0.7912271333021464,0.35
U134264,0.1956762467702946,0.6130013527355093,0.3
U206707,0.0,0.0,0.0
U483196,0.0,0.0,0.0
U247378,0.0,0.0,0.0
U120396,0.10153442729122363,0.5034820560635733,0.25
U125947,0.259825181013106,0.6674279220735938,0.3
U32052,0.296583221518423,0.6944547830678443,0.3
U230802,0.2173220112736489,0.6326028070905471,0.3
U153712,0.2173220112736489,0.6326028070905471,0.3
U201686,0.27643459094367495,0.6799511551619571,0.3
U56399,0.3988681190491285,0.7590122715794404,0.35
U277584,0.0,0.0,0.0
U209784,0.16362920197946887,0.5809760689690728,0.3
U319987,0.0,0.0,0.0
U86814,0.27643459094367495,0.6799511551619571,0.3
U134894,0.1323017760673159,0.5450918671087269,0.25
U242357,0.24421905028821556,0.6551396153845267,0.3
U36665,0.1705363543012252,0.5882271859843899,0.3
U231357,0.3010299956639812,0.6975621887597618,0.3
U14596,0.09715952593740357,0.4968732496898365,0.25
U95363,0.0,0.0,0.0
U482079,0.0,0.0,0.0
U127546,0.1956762467702946,0.6130013527355093,0.3
