,entropy,target_entropy,optimal_lambda
U80234,0.665383677128836,0.9217527215124234,0.5
U44190,0.5409118281096172,0.8843522714777811,0.5
U70421,0.5838494978890342,0.8979665977042744,0.45
U8181,0.37753643742420556,0.822984725188054,0.5
U35337,0.461797596154145,0.8568214565600919,0.5
U44035,0.6273085295177967,0.9109535623809979,0.5
U65211,0.7952832539952787,0.955222112804902,0.5
U66717,0.863370307956794,0.9710451462048821,0.55
U64634,0.6914290807454053,0.928858432883858,0.5
U18498,0.8365243031847195,0.9649297858073707,0.55
U13878,0.7600390507138471,0.9466014848467035,0.5
U12784,0.6960252556658639,0.9300900528641235,0.5
U54826,0.3880689467541575,0.8275262489363149,0.5
U50612,0.7606236712434131,0.9467470648583853,0.5
U11400,0.6846689508679098,0.9270349904863286,0.5
U52937,0.8486195262346973,0.9677041512361919,0.5
U86056,0.6240428848632934,0.9100031322480404,0.55
U5731,0.7650340001558736,0.9478424331498718,0.5
U34484,0.5447005046118866,0.8855876583199277,0.5
U42035,0.6115709849307205,0.906336300272018,0.55
U19010,0.660705092495749,0.9204528162498756,0.55
U93010,0.739860769319846,0.941520975793642,0.55
U76747,0.5945282833126319,0.9012276425882579,0.5
U47580,0.5517531165711628,0.8878691352462983,0.45
U52206,0.617450413624388,0.9080722772025587,0.55
U52203,0.6993179933002506,0.9309684013474041,0.45
U54225,0.5765982182447795,0.895724924742783,0.5
U62036,0.49800736851644356,0.8698555799505877,0.5
U26257,0.607623111678282,0.9051631328207683,0.5
U26662,0.7172691736575091,0.9356995772892638,0.5
U51029,0.7369435290477497,0.9407773263779566,0.5
U70129,0.49193291899386093,0.8677231359010622,0.45
U26002,0.7751645447551938,0.9503394986097415,0.55
U60443,0.7739038284711489,0.9500301736579513,0.5
U2387,0.7760148284688313,0.9505478940764127,0.5
U64227,0.7705871437359435,0.9492144738397389,0.5
U66627,0.6268146421043249,0.9108100762870527,0.5
U44187,0.601909284583507,0.9034543400094361,0.5
U10516,0.444923881418727,0.8504663670118539,0.5
U47469,0.6157426227736166,0.907569397596218,0.5
U56555,0.6276352744111984,0.9110484399143294,0.55
U84035,0.6697840720732833,0.92296867822522,0.5
U63532,0.6392494609521376,0.9143954873458225,0.5
U18209,0.5393965713980072,0.8838562480247265,0.5
U87111,0.6922474109869712,0.9290781960885756,0.5
U37346,0.6675095927979631,0.9223409742950139,0.5
U52142,0.636257940435421,0.9135380544037861,0.5
U92056,0.7857003529289706,0.9529089141410426,0.5
U32948,0.5014596311525578,0.8710582439094146,0.5
U69198,0.715968634199324,0.9353600122216102,0.5
U63061,0.5354429911705455,0.8825567637042181,0.5
U73845,0.8291377648631333,0.9632196622847786,0.55
U8927,0.6117135960117788,0.9063785656993499,0.5
U56060,0.543124523955824,0.8850746104887047,0.5
U67596,0.6976086200267301,0.9305128344238608,0.45
U38274,0.5533829536034868,0.8883930562351878,0.5
U51553,0.7695333354988426,0.9489547140803832,0.5
U47002,0.5821596240720158,0.89744618615066,0.5
U83808,0.4107961447774183,0.8369996412319431,0.5
U93556,0.6842949323270477,0.9269336848662411,0.55
U14643,0.6274792540690731,0.9110031409227286,0.5
U71887,0.48329028223991827,0.8646525219491831,0.55
U2666,0.6866301128363196,0.9275654618255845,0.5
U69450,0.7840848903406851,0.9525167401267194,0.5
U33758,0.8448050250388367,0.966832626747077,0.5
U45857,0.6698665638215754,0.9229914119844888,0.5
U20240,0.5597045252221695,0.8904135568121272,0.45
U91487,0.6283623628895503,0.9112594242593295,0.5
U41311,0.6157426227736166,0.907569397596218,0.5
U46414,0.4666182597388393,0.8586028899494643,0.5
U29451,0.8009777993110029,0.9565861657825651,0.5
U39343,0.8289484860836481,0.9631756807656446,0.5
U41053,0.8482364578042952,0.9676167707670207,0.5
U65112,0.5755029210633339,0.8953843647941891,0.5
U81812,0.7738173358971743,0.9500089373684552,0.5
U31006,0.6926871220166664,0.9291961949907392,0.5
U24909,0.8259076716107906,0.9624680021580438,0.5
U82260,0.6972216289598664,0.9304095730605393,0.55
U76174,0.49697975267032185,0.8694963016991216,0.5
U1098,0.7284627643637693,0.9386019918443814,0.55
U91600,0.694310521238005,0.9296313248535553,0.5
U38741,0.6039981763331744,0.9040805486471523,0.55
U56351,0.6768759037411355,0.9249149744462263,0.5
U87270,0.8505289934332741,0.9681392433914264,0.5
U10929,0.7720459375730148,0.9495735924344585,0.55
U79203,0.554951981477536,0.8888962648204441,0.55
U57905,0.8862186953504188,0.9761311712071116,0.5
U75250,0.5956586544091556,0.9015700814041615,0.55
U61303,0.7269781068695301,0.9382190924121916,0.5
U73080,0.7500939269685565,0.9441111568512189,0.55
U39852,0.6744417101327945,0.9242487761801478,0.5
U53534,0.791574986836846,0.9543296398361505,0.5
U11749,0.7966506375825616,0.9555503625585529,0.55
U55718,0.7613618898320285,0.9469307654553136,0.5
U82580,0.5603655701694138,0.8906237839882765,0.5
U8952,0.8307713800050424,0.9635989217159187,0.5
U19134,0.6692829172071925,0.9228305176555534,0.5
U58940,0.7319886443866574,0.9395088355446721,0.55
U73118,0.6616726857288493,0.9207222564773022,0.55
U38911,0.8093193484743849,0.9585703348916508,0.55
U23977,0.7941458556335258,0.9549487284144523,0.5
U47370,0.6587103591160852,0.9198963564016258,0.55
U29047,0.7791417564540479,0.9513127030836334,0.5
U41386,0.568418292115616,0.8931689338954903,0.5
U16117,0.8555466123421955,0.9692788473481431,0.55
U37201,0.7334673917995699,0.9398881242069013,0.5
U74293,0.8103521825023258,0.9588148710096402,0.5
U1166,0.7480410696883014,0.94359382146492,0.5
U56892,0.3688183139095311,0.819148227058693,0.5
U13055,0.5803979868576351,0.8969023862540149,0.5
U86568,0.8135676695940465,0.9595745839056258,0.5
U80719,0.8073568833261657,0.9581050085311165,0.5
U51137,0.23504518787566922,0.7485663022402911,0.45
U50667,0.6468569695098301,0.9165615876382753,0.5
U54899,0.7100898361565631,0.9338188993831754,0.5
U24691,0.7288877585372695,0.9387114846943907,0.5
U36621,0.7575095206804754,0.9459705564974576,0.55
U33705,0.6834948752423889,0.9267168348232124,0.5
U58108,0.45879996035092185,0.8557061914645004,0.45
U35110,0.8551372064560527,0.9691860635209489,0.5
U10045,0.4995275802173877,0.8703859949649512,0.5
U44420,0.8206658005103811,0.9612431702420687,0.5
U60575,0.7012155050018799,0.9314730671137218,0.5
U83929,0.5763225542887563,0.8956392615195916,0.5
U15806,0.6972911183436565,0.9304281183861184,0.5
U90061,0.6477373758748436,0.9168109496250451,0.45
U83958,0.5700153648331042,0.8936702742994251,0.5
U79210,0.8334651894477849,0.9642230143941758,0.55
U92969,0.8116302509261272,0.9591171244445599,0.5
U53401,0.5650413659771449,0.8921051543751258,0.5
U21671,0.6755638038940549,0.9245561131308718,0.5
U67959,0.7990658195197624,0.9561290439322139,0.5
U86800,0.6075703927234694,0.9051474254161075,0.5
U19078,0.8030056866630172,0.9570700462273835,0.55
U47366,0.6424690937539768,0.9153147229899524,0.5
U38489,0.5940402201633993,0.9010796259100036,0.5
U75465,0.7105033735433499,0.9339276403005431,0.5
U48110,0.2076531463079713,0.7302435054085471,0.45
U39701,0.7993678012524149,0.9562013007754121,0.55
U1130,0.6862409191754345,0.9274602859913565,0.55
U82772,0.4056838710822129,0.8349059350874519,0.45
U44468,0.8002606946938897,0.9564148206727505,0.5
U1019,0.45879996035092185,0.8557061914645004,0.45
U68138,0.6881999405263829,0.9279892090823438,0.5
U9668,0.7505166905373002,0.9442175557526347,0.5
U73701,0.6924477618199404,0.9291319687837029,0.55
U69230,0.7388073763891163,0.9412527207656338,0.5
U17440,0.7132694444312346,0.9346536879664625,0.5
U33568,0.37348061874765004,0.8212088365747311,0.45
U18317,0.6315432012829438,0.9121801406322335,0.5
U7044,0.5957908043869826,0.9016100814591734,0.5
U55633,0.661024862030593,0.9205418955707549,0.5
U61438,0.7280292000019621,0.9384902383520414,0.5
U34787,0.6976086200267301,0.9305128344238608,0.45
U18795,0.8007903183288306,0.9565413808940292,0.5
U27613,0.6240428848632934,0.9100031322480404,0.55
U48783,0.7739967731640197,0.9500529920025244,0.55
U4525,0.8328048683050118,0.9640701828857785,0.5
U91301,0.5387254083449877,0.8836361846577399,0.5
U82136,0.7038916533913439,0.9321829668325153,0.55
U56575,0.38954970906993475,0.8281568088914636,0.45
U67144,0.6613775993585062,0.920640118866268,0.55
U55465,0.42439830048937655,0.842470547898658,0.5
U47232,0.8272870168042051,0.9627892704242931,0.5
U64120,0.4993295171128888,0.8703169622600773,0.5
U84319,0.7971464285845494,0.9556692692306406,0.5
U16985,0.7648052223728613,0.947785737307986,0.55
U72613,0.723638311617226,0.93735545327114,0.5
U57416,0.49193291899386093,0.8677231359010622,0.45
U22741,0.7142018094403856,0.9348979107102333,0.5
U61669,0.7627976804867852,0.9472876443433423,0.5
U52740,0.803941316044411,0.9572929701291728,0.55
U37889,0.7720321999665076,0.9495702131119141,0.55
U24316,0.570249951947047,0.8937438193442769,0.55
U89068,0.4332769405847128,0.8459664021321791,0.5
U71610,0.7291857935288888,0.9387882381093112,0.55
U82650,0.48948153549616186,0.86685660522735,0.5
U7869,0.8094077128518617,0.9585912660042015,0.5
U80861,0.7277959970621367,0.9384301070468762,0.5
U4961,0.455777321106054,0.854575705642038,0.5
U51297,0.7144539510990051,0.9349639126232548,0.5
U80098,0.7927810441001499,0.9546202693771438,0.5
U2171,0.5031540453241287,0.8716461048359676,0.5
U11993,0.8351289285895847,0.9646076582178804,0.5
U37966,0.818003491871988,0.9606186886856725,0.5
U2071,0.7224972739137483,0.9370596609865406,0.5
U45324,0.543124523955824,0.8850746104887047,0.5
U28185,0.7930803544265486,0.9546923408693455,0.5
U83199,0.775596002425288,0.9504452671228985,0.5
U81685,0.5886769375505561,0.8994466412686194,0.45
U38830,0.8512325380944433,0.9682993564375689,0.5
U35996,0.3270154117587008,0.7996752304416638,0.45
U62131,0.619489499155243,0.9086712551534345,0.5
U75988,0.7819219915282535,0.9519906556826634,0.5
U70892,0.7247874713192046,0.9376529741500222,0.5
U17880,0.7229601227912442,0.9371796907585083,0.5
U88694,0.8546730658725049,0.9690808321553637,0.5
U3516,0.8398685943632904,0.9657000821583747,0.5
U37208,0.7150215600038974,0.9351124247211838,0.5
U73614,0.8286502252870146,0.9631063594736003,0.55
U17211,0.7735310113561454,0.9499386233218192,0.55
U38992,0.4910032126854847,0.8673949048801212,0.45
U8334,0.5674645428699048,0.8928690028345029,0.5
U32901,0.8209459924352266,0.961308798857089,0.5
U84006,0.6869957617566189,0.9276642314778155,0.5
U81641,0.6261857824790125,0.9106272465828893,0.45
U21491,0.7573183870139107,0.9459228145042247,0.55
U78861,0.7377270808686184,0.9409772967828317,0.55
U71932,0.7358295609045651,0.9404927373509463,0.5
U74929,0.7800154118281079,0.9515259497550875,0.55
U68479,0.7544024134316573,0.9451932550427444,0.55
U70597,0.82861535736421,0.9630982542242681,0.5
U39832,0.6247740582747953,0.9102162773673019,0.5
U6100,0.46607259363946096,0.8584019849117652,0.55
U91093,0.32036452947894106,0.7963956607546672,0.45
U2985,0.7059786579652922,0.9327350878620813,0.5
U56621,0.696897686126253,0.9303230996836199,0.5
U18737,0.7937252108705541,0.954847543143814,0.55
U42773,0.6966004976937507,0.9302437398456131,0.5
U30369,0.7884100725405556,0.9535652868257657,0.55
